"report_date","asin","cost","clicks","impressions"
"2021-10-28",NULL,5.53,9,1305
"2021-10-29",NULL,4.09,8,1295
"2021-10-29",NULL,1.76,1,42
"2021-10-30",NULL,7.1,9,1285
"2021-10-30",NULL,1.29,1,54
"2021-10-31",NULL,5.24,6,1179
"2021-11-01",NULL,8.67,14,1332
"2021-11-01",NULL,5.2,3,311
"2021-11-02",NULL,4.99,9,982
"2021-11-02",NULL,1.1,1,288
"2021-11-03",NULL,3.71,6,1234
"2021-11-03",NULL,3.9,3,190
"2021-11-04",NULL,9.75,18,1175
"2021-11-04",NULL,2.27,3,80
"2021-11-05",NULL,4.4,7,1075
"2021-11-05",NULL,0.0,0,62
"2021-11-06",NULL,2.39,7,891
"2021-11-07",NULL,9.23,15,1281
"2021-11-08",NULL,7.5,10,1248
"2021-11-09",NULL,9.46,13,990
"2021-11-09",NULL,1.43,1,58
"2021-11-10",NULL,3.6,6,1164
"2021-11-11",NULL,13.22,18,1258
"2021-11-11",NULL,0.1,1,248
"2021-11-12",NULL,5.09,8,1426
"2021-11-13",NULL,5.03,8,1695
"2021-11-13",NULL,0.47,1,65
"2021-11-14",NULL,12.83,18,1894
"2021-11-15",NULL,4.78,11,1710
"2021-11-16",NULL,11.18,11,1365
"2021-11-17",NULL,8.54,12,1527
"2021-11-18",NULL,6.52,10,1348
"2021-11-19",NULL,12.55,18,1433
"2021-11-20",NULL,8.97,12,1691
"2021-11-21",NULL,12.51,22,1918
"2021-11-21",NULL,1.31,1,172
"2021-11-22",NULL,11.09,18,1981
"2021-11-22",NULL,2.33,1,36
"2021-11-23",NULL,10.77,19,1665
"2021-11-23",NULL,1.53,1,42
"2021-11-24",NULL,10.21,15,1970
"2021-11-25",NULL,13.7,23,1980
"2021-11-25",NULL,1.49,1,50
"2021-11-26",NULL,17.23,23,2132
"2021-11-27",NULL,3.08,5,1027
"2021-11-27",NULL,1.71,3,280
"2021-11-28",NULL,3.41,4,101
"2021-11-28",NULL,1.32,3,393
"2021-11-29",NULL,13.61,17,1546
"2021-11-30",NULL,3.75,4,853
"2021-11-30",NULL,2.6,2,230
"2021-12-01",NULL,1.22,2,437
"2021-12-01",NULL,3.6,2,134
"2021-12-02",NULL,2.5,4,742
"2021-12-03",NULL,3.69,5,919
"2021-12-03",NULL,0.9,1,185
"2021-12-04",NULL,3.06,5,503
"2021-12-04",NULL,4.96,4,145
"2021-12-05",NULL,3.68,5,1654
"2021-12-06",NULL,4.16,6,1765
"2021-12-06",NULL,1.31,1,40
"2021-12-07",NULL,5.58,9,1823
"2021-12-08",NULL,9.97,13,1928
"2021-12-08",NULL,0.31,1,5
"2021-12-09",NULL,4.74,9,1975
"2021-12-10",NULL,10.19,12,1438
"2021-12-10",NULL,0.86,1,242
"2021-12-11",NULL,9.11,12,2735
"2021-12-11",NULL,1.31,3,254
"2021-12-12",NULL,7.5,10,6142
"2021-12-12",NULL,0.65,1,80
"2021-12-13",NULL,7.7,9,5390
"2021-12-14",NULL,7.24,11,3744
"2021-12-15",NULL,11.35,13,2819
"2021-12-15",NULL,0.63,1,182
"2021-12-16",NULL,8.5,12,2630
"2021-12-17",NULL,7.69,12,2477
"2021-12-17",NULL,0.76,2,67
"2021-12-18",NULL,4.35,9,3080
"2021-12-19",NULL,3.96,9,3439
