"Date","ASIN","Product Title","Ordered Revenue","Ordered Units","Glance Views","Conversion Rate"
"2022-03-04","C07JM4MS7H","CC Red Correct - Perfecteur et Correcteur de Teint Couvrant les Imperfections - Teint Unifié - 45 ml","319.20",16,123,"0.07"
"2022-02-27","C07LGCGG6R","CC Red Correct - Crème Anti-Rougeurs - Soin Perfecteur Automatique de Teint - 15ml","122.85",13,215,"0.09"
"2022-02-28","C07LGCGG6R","CC Red Correct - Crème Anti-Rougeurs - Soin Perfecteur Automatique de Teint - 15ml","207.90",22,153,"0.14"
"2022-03-01","C07LGCGG6R","CC Red Correct - Crème Anti-Rougeurs - Soin Perfecteur Automatique de Teint - 15ml","274.05",29,209,"0.09"
"2022-03-02","C07LGCGG6R","CC Red Correct - Crème Anti-Rougeurs - Soin Perfecteur Automatique de Teint - 15ml","132.30",14,187,"0.07"
"2022-03-03","C07LGCGG6R","CC Red Correct - Crème Anti-Rougeurs - Soin Perfecteur Automatique de Teint - 15ml","152.50",16,223,"0.05"
"2022-03-04","C07LGCGG6R","CC Red Correct - Crème Anti-Rougeurs - Soin Perfecteur Automatique de Teint - 15ml","105.25",11,162,"0.07"
"2022-02-28","C07MVXKVGM","Erb Base de Teint Eclat Pink Primer & Care 1 Unité 15ml","17.50",1,14,"0.14"
"2022-03-01","C07MVXKVGM","Erb Base de Teint Eclat Pink Primer & Care 1 Unité 15ml","17.50",1,15,"0.00"
"2022-03-02","C07MVXKVGM","Erb Base de Teint Eclat Pink Primer & Care 1 Unité 15ml","0.00",0,0,"0.00"
"2022-03-03","C07MVXKVGM","Erb Base de Teint Eclat Pink Primer & Care 1 Unité 15ml","0.00",0,17,"0.06"
"2022-03-04","C07MVXKVGM","Erb Base de Teint Eclat Pink Primer & Care 1 Unité 15ml","17.50",1,14,"0.00"
"2022-03-01","C07NMJ279C","Erb Magic Transformask Masque à transformation lumière - 50ml","0.00",0,0,"0.00"
"2022-03-03","C07NMJ279C","Erb Magic Transformask Masque à transformation lumière - 50ml","16.50",1,11,"0.09"
"2022-03-04","C07NMJ279C","Erb Magic Transformask Masque à transformation lumière - 50ml","0.00",0,10,"0.10"
"2022-02-02","C003TFFCLU","Erb - Ginseng Infusion - Crème de Jour Effet Tenseur pour une Peau plus Jeune - 50ml","0.00",0,0,NULL
"2022-02-02","C003TFFCMO","Erb - Ginseng Infusion Total Eye - Crème Yeux Anti- ge et Anti Cernes  - 15ml","0.00",0,0,"0.00"
"2022-02-02","C006M7JYJ8","BB Crème au Ginseng - Fond de Teint Couvrant Imperfection effet \Peau de bébé\"" - Teinte Clair - 45 ml""","0.00",0,0,"0.00"
"2022-02-27","C07P8HVW5B","Erb - CC Eye Crème Contour des Yeux - Teinte Dorée  - SPF 20  - 10ml","105.00",7,52,"0.17"
"2022-02-02","C007Y5C3I6","BB Crème au Ginseng - Fond de Teint Couvrant Imperfection effet \Peau de bébé\"" - Teinte Dorée - 15 ml""","8.95",1,0,"0.00"
"2022-02-28","C07P8HVW5B","Erb - CC Eye Crème Contour des Yeux - Teinte Dorée  - SPF 20  - 10ml","135.00",9,48,"0.06"
"2022-02-02","C007Y5FWOS","Erb La Masque Visage Nuit Coup de Fouet, 50 ml","0.00",0,0,NULL
"2022-03-01","C07P8HVW5B","Erb - CC Eye Crème Contour des Yeux - Teinte Dorée  - SPF 20  - 10ml","17.00",1,36,"0.03"
"2022-02-02","C00C8SPXCC","Erb - Crème BB Eye Touche Parfaite - SPF 20 - 15ml","0.00",0,45,"0.02"
"2022-03-02","C07P8HVW5B","Erb - CC Eye Crème Contour des Yeux - Teinte Dorée  - SPF 20  - 10ml","0.00",0,29,"0.07"
"2022-02-02","C00DL2DN30","CC Crème - Maquillage pour le Teint et Soin Illuminateur - Teinte Doré - 15 ml","491.40",52,266,"0.18"
"2022-02-02","C00MMD725Y","Erb - Yuza Sorbet Night -  Emulsion Nocturne Renforcée - 50ml","0.00",0,5,"0.40"
"2022-02-02","C00MMDQFVG","Erb L'Eau Ginseng","21.35",1,7,"0.14"
"2021-12-28","C003TFFCLU","Erb - Ginseng Infusion - Crème de Jour Effet Tenseur pour une Peau plus Jeune - 50ml","0.00",0,0,"0.00"
"2021-12-29","C003TFFCLU","Erb - Ginseng Infusion - Crème de Jour Effet Tenseur pour une Peau plus Jeune - 50ml","0.00",0,0,"0.00"
"2022-03-03","C07P8HVW5B","Erb - CC Eye Crème Contour des Yeux - Teinte Dorée  - SPF 20  - 10ml","75.00",5,44,"0.02"
"2021-12-28","C003TFFCMO","Erb - Ginseng Infusion Total Eye - Crème Yeux Anti- ge et Anti Cernes  - 15ml","0.00",0,0,"0.00"
"2021-12-29","C003TFFCMO","Erb - Ginseng Infusion Total Eye - Crème Yeux Anti- ge et Anti Cernes  - 15ml","0.00",0,0,"0.00"
"2022-03-04","C07P8HVW5B","Erb - CC Eye Crème Contour des Yeux - Teinte Dorée  - SPF 20  - 10ml","15.00",1,48,"0.08"
"2021-12-28","C006M7JYJ8","BB Crème au Ginseng - Fond de Teint Couvrant Imperfection effet \Peau de bébé\"" - Teinte Clair - 45 ml""","213.95",11,142,"0.13"
"2021-12-29","C006M7JYJ8","BB Crème au Ginseng - Fond de Teint Couvrant Imperfection effet \Peau de bébé\"" - Teinte Clair - 45 ml""","311.20",16,104,"0.09"
"2021-12-28","C007Y5C3I6","BB Crème au Ginseng - Fond de Teint Couvrant Imperfection effet \Peau de bébé\"" - Teinte Dorée - 15 ml""","0.00",0,0,"0.00"
"2021-12-29","C007Y5C3I6","BB Crème au Ginseng - Fond de Teint Couvrant Imperfection effet \Peau de bébé\"" - Teinte Dorée - 15 ml""","8.95",1,0,"0.00"
"2022-02-27","C07P8HWBV8","Erb - CC Eye Crème Contour des Yeux - Teinte Claire - SPF 20 -  - 10ml","76.39",5,40,"0.13"
"2021-12-28","C007Y5FWOS","Erb La Masque Visage Nuit Coup de Fouet, 50 ml","16.95",1,1,"1.00"
"2021-12-29","C007Y5FWOS","Erb La Masque Visage Nuit Coup de Fouet, 50 ml","0.00",0,0,"0.00"
"2022-02-28","C07P8HWBV8","Erb - CC Eye Crème Contour des Yeux - Teinte Claire - SPF 20 -  - 10ml","105.00",7,41,"0.05"
"2021-12-28","C00C8SPXCC","Erb - Crème BB Eye Touche Parfaite - SPF 20 - 15ml","105.00",7,85,"0.05"
"2021-12-29","C00C8SPXCC","Erb - Crème BB Eye Touche Parfaite - SPF 20 - 15ml","75.00",5,65,"0.06"
"2022-03-01","C07P8HWBV8","Erb - CC Eye Crème Contour des Yeux - Teinte Claire - SPF 20 -  - 10ml","91.39",6,45,"0.09"
"2021-12-28","C00DL2DN30","CC Crème - Maquillage pour le Teint et Soin Illuminateur - Teinte Doré - 15 ml","274.05",29,226,"0.16"
"2021-12-29","C00DL2DN30","CC Crème - Maquillage pour le Teint et Soin Illuminateur - Teinte Doré - 15 ml","387.45",41,318,"0.16"
"2022-03-02","C07P8HWBV8","Erb - CC Eye Crème Contour des Yeux - Teinte Claire - SPF 20 -  - 10ml","30.00",2,48,"0.04"
"2021-12-28","C00MMD725Y","Erb - Yuza Sorbet Night -  Emulsion Nocturne Renforcée - 50ml","25.50",1,15,"0.07"
"2021-12-29","C00MMD725Y","Erb - Yuza Sorbet Night -  Emulsion Nocturne Renforcée - 50ml","25.50",1,21,"0.05"
"2022-03-03","C07P8HWBV8","Erb - CC Eye Crème Contour des Yeux - Teinte Claire - SPF 20 -  - 10ml","90.00",6,58,"0.12"
"2021-12-28","C00MMDQFVG","Erb L'Eau Ginseng","0.00",0,0,NULL
"2021-12-29","C00MMDQFVG","Erb L'Eau Ginseng","0.00",0,0,NULL
"2022-03-04","C07P8HWBV8","Erb - CC Eye Crème Contour des Yeux - Teinte Claire - SPF 20 -  - 10ml","105.00",7,54,"0.15"
"2021-12-28","C00NPV1Z32","Erb - Pink Perfect Crème - Base de Teint Eclat - 15ml","0.00",0,0,"0.00"
"2021-12-28","C00NPV20PO","Erb Pink Perfect Crème - Effet Grain de Peau Affiné, 45 ml","36.90",2,11,"0.00"
"2021-12-29","C00NPV20PO","Erb Pink Perfect Crème - Effet Grain de Peau Affiné, 45 ml","0.00",0,11,"0.09"
"2021-12-28","C00QFK1JGS","Erb BB Crème au Ginseng -  SPF 20 - CC Crème Teinte Nude - 45 ml","447.35",23,145,"0.08"
"2021-12-29","C00QFK1JGS","Erb BB Crème au Ginseng -  SPF 20 - CC Crème Teinte Nude - 45 ml","311.20",16,184,"0.08"
"2022-03-02","C07WC4P6R5","Erb Yuza Sorbet Eye Crème pour Yeux","0.00",0,0,NULL
"2021-12-28","C00SYLGPT2","BB Crème au Ginseng - Fond de Teint Couvrant Imperfection effet \Peau de bébé\"" - Teinte Nude - 15 ml""","0.00",0,0,"0.00"
"2021-12-29","C00SYLGPT2","BB Crème au Ginseng - Fond de Teint Couvrant Imperfection effet \Peau de bébé\"" - Teinte Nude - 15 ml""","0.00",0,0,"0.00"
